pert_iname,n_cell_lines,cell_lines,n_total_signatures
trichostatin-a,64,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEK293T', 'HEPG2', 'HL60', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'JURKAT', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U266', 'U937', 'VCAP', 'WSUDLCL2']",1006
sirolimus,62,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",470
vemurafenib,61,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEK293T', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",140
wortmannin,61,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HL60', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",997
geldanamycin,61,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HL60', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",934
tozasertib,60,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",279
GW-843682X,60,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",134
vorinostat,60,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEK293T', 'HEPG2', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",1323
tamoxifen,59,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HL60', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",261
AS-605240,59,"['A375', 'A549', 'A673', 'AGS', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",113
