drug_name,n_cell_lines,direction_instability,mean_pairwise_cosine,mean_rotation_angle_deg,magnitude_cv,mean_norm,frechet_variance,mean_top_gene_jaccard,moa,target,clinical_phase,p_value_population
BRD-K01896723,7,0.4136909246444702,0.5863090753555298,53.794795989990234,0.19820153713226318,89.09297943115234,0.40772703289985657,0.18686853756471236,,,,0.00011967448539971278
BRD-K92158425,8,0.4185507893562317,0.5814492106437683,54.07325744628906,0.13908785581588745,85.44024658203125,0.4237101972103119,0.18745826282813008,,,,0.0002358490566037736
BRD-K85853281,9,0.4288017153739929,0.5711982846260071,54.915130615234375,0.18540893495082855,77.08893585205078,0.44443967938423157,0.17197238747040855,,,,0.00035248501938667606
BRD-K81814927,9,0.46947503089904785,0.5305249691009521,57.70466613769531,0.20087167620658875,77.1604232788086,0.49442651867866516,0.15940132326804277,,,,0.0004699800258489014
BRD-K79222491,9,0.47538143396377563,0.5246185660362244,58.101924896240234,0.25964629650115967,87.72713470458984,0.5022528171539307,0.16459386557472966,,,,0.0005874750323111268
BRD-K77681376,7,0.4844605326652527,0.5155394673347473,58.39504623413086,0.19800996780395508,87.3387680053711,0.4940219819545746,0.16422590493469721,,,,0.0007180469123982767
homoharringtonine,13,0.49711835384368896,0.502881646156311,59.46537399291992,0.29958319664001465,94.09614562988281,0.5577943921089172,0.1989514250159786,protein synthesis inhibitor,RPL3,Launched,0.0013407393219689715
BRD-K26304855,9,0.49723315238952637,0.5027668476104736,59.567203521728516,0.28301170468330383,80.13539123535156,0.530867338180542,0.15124414786152102,,,,0.0009399600516978028
VU-0418939-2,8,0.49838894605636597,0.501611053943634,59.810672760009766,0.18497498333454132,67.23566436767578,0.520413339138031,0.21504836243063,,,,0.0010613207547169811
cephaeline,12,0.5021890699863434,0.4978109300136566,59.903411865234375,0.24769416451454163,84.1501693725586,0.5585140585899353,0.1905633709464877,,,,0.0016398819285011479
dactinomycin,12,0.5061191320419312,0.49388086795806885,59.91655349731445,0.2620795667171478,89.65756225585938,0.5679284930229187,0.1473344572235122,RNA polymerase inhibitor,POLR2A,Launched,0.0018038701213512628
narciclasine,47,0.5126975178718567,0.4873024821281433,60.50913619995117,0.34974783658981323,79.1480484008789,0.6255065202713013,0.1878069267605619,,,,0.002793296089385475
calyculin,8,0.515243798494339,0.484756201505661,60.58663558959961,0.3018796145915985,76.34125518798828,0.5461589097976685,0.1479800870771686,,,,0.0014150943396226414
VU-0418947-2,8,0.5158454477787018,0.4841545522212982,60.920654296875,0.16164883971214294,70.41460418701172,0.5431959629058838,0.1898143066277111,,,,0.0015330188679245284
BMS-387032,6,0.5215581953525543,0.4784418046474457,61.04627227783203,0.10524735599756241,83.04439544677734,0.521021842956543,0.13572701629325332,CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor,CDK2|CDK7|CDK9,Phase 1,0.002029030747619791
BRD-K78385490,9,0.5222049951553345,0.4777950048446655,61.28757095336914,0.31707143783569336,65.5579605102539,0.5631000399589539,0.20441129458202995,,,,0.0017624250969333803
bisindolylmaleimide-ix,12,0.5259473323822021,0.47405266761779785,61.1792106628418,0.1980334371328354,82.76128387451172,0.5951092839241028,0.13834717790582132,PKC inhibitor,AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1,Preclinical,0.0026238110856018366
rhodomyrtoxin-b,8,0.5266319215297699,0.4733680784702301,61.42177200317383,0.22026431560516357,78.29571533203125,0.560439944267273,0.20000849764777723,,,,0.0020047169811320755
merck-ketone,9,0.5267086029052734,0.47329139709472656,61.60073471069336,0.2566867768764496,66.77291870117188,0.5685708522796631,0.1636146127089068,,,,0.0021149101163200562
epirubicin,15,0.528643012046814,0.47135698795318604,61.54090881347656,0.1881607174873352,74.18385314941406,0.6104785203933716,0.14134830036812576,topoisomerase inhibitor,CHD1|TOP2A,Launched,0.0032719836400817996
anisomycin,14,0.5551339983940125,0.44486600160598755,63.15100860595703,0.29140031337738037,87.871826171875,0.6500836610794067,0.1729046088820962,DNA synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,Preclinical,0.0036384527001148987
BRD-K83670234,9,0.5556222796440125,0.44437772035598755,63.107234954833984,0.3362337350845337,73.44879150390625,0.6146262288093567,0.12347796585240174,,,,0.0024673951357067326
PCI-24781,13,0.5606578886508942,0.43934211134910583,63.660247802734375,0.2721729874610901,87.34528350830078,0.6489095091819763,0.15378413507340985,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6,Phase 3,0.004022217965906914
cercosporin,8,0.5628082156181335,0.43719178438186646,63.812808990478516,0.28154364228248596,92.06965637207031,0.60829758644104,0.1669643156138974,,,,0.002712264150943396
BNTX,8,0.5643931031227112,0.4356068968772888,63.96339416503906,0.2613016664981842,93.21920776367188,0.6098185777664185,0.15736966636716168,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,Preclinical,0.002830188679245283
apicidin,14,0.5697270035743713,0.43027299642562866,64.2456283569336,0.17938683927059174,68.2790298461914,0.6672378182411194,0.1500128928256101,,,,0.004595940252776714
GSK-2126458,6,0.5698979794979095,0.43010202050209045,64.47489166259766,0.15404091775417328,49.87632369995117,0.5787140727043152,0.12581551677674935,,,,0.0032776650538473544
MW-STK33-23,8,0.5713549256324768,0.4286450743675232,64.34085083007812,0.10172860324382782,71.76139831542969,0.6192867755889893,0.13954915786229252,,,,0.0031839622641509436
chromomycin-a3,12,0.5715469717979431,0.4284530282020569,64.30489349365234,0.16079598665237427,67.11556243896484,0.6581785678863525,0.13116417089884655,,,,0.0045916693998032145
BRD-K24156250,8,0.574071615934372,0.42592838406562805,64.65689849853516,0.20175081491470337,73.33016967773438,0.6219960451126099,0.15491473964452432,,,,0.003419811320754717
BRD-K77547920,9,0.5846932828426361,0.4153067171573639,65.34870910644531,0.2448914349079132,58.11619567871094,0.6496217250823975,0.1609194229142092,,,,0.0035248501938667607
VU-0418934-2,8,0.5857791304588318,0.4142208695411682,65.39657592773438,0.21629172563552856,60.58922576904297,0.6372754573822021,0.16167544815033638,,,,0.0036556603773584906
digitoxigenin,8,0.5861603915691376,0.4138396084308624,65.16165161132812,0.35009241104125977,92.99453735351562,0.644061803817749,0.14899033789931632,ATPase inhibitor,ATP1A1,Preclinical,0.0037735849056603774
ISOX,54,0.5866462886333466,0.41335371136665344,65.39012145996094,0.22392137348651886,62.93077087402344,0.7470627427101135,0.14234143394646873,,,,0.00558659217877095
verrucarin-a,13,0.5878152251243591,0.41218477487564087,65.3539810180664,0.15784333646297455,69.91001892089844,0.6901873350143433,0.14878787107275995,,,,0.005937559854434017
BRD-A68065211,8,0.5883881151676178,0.4116118848323822,65.47611236572266,0.20761053264141083,75.33772277832031,0.6413018703460693,0.13995982580012742,,,,0.004009433962264151
belinostat,13,0.5891868770122528,0.4108131229877472,65.54706573486328,0.21821464598178864,65.70722198486328,0.690104603767395,0.13932565089805257,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,Launched,0.006320628232139437
panobinostat,15,0.5908572375774384,0.40914276242256165,65.6611557006836,0.1810813844203949,71.81963348388672,0.7025083899497986,0.14717917928776508,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9,Launched,0.006543967280163599
BRD-K60870698,8,0.5984608829021454,0.4015391170978546,65.77143859863281,0.3650790750980377,83.83811950683594,0.6680834293365479,0.15647047285745694,,,,0.004363207547169811
tegaserod,6,0.6002404093742371,0.39975959062576294,66.34211730957031,0.277262419462204,47.36967468261719,0.6185541749000549,0.13345312289591163,serotonin receptor partial agonist,HTR2A|HTR2B|HTR2C|HTR4,Withdrawn,0.004682378648353363
VU-0418946-1,14,0.6011502742767334,0.3988497257232666,66.2960205078125,0.2867623269557953,61.75028610229492,0.7149544954299927,0.15368800616805742,,,,0.0068939103791650705
